COUNT	TERM	LEMMA	POS_COUNTS
2540	Cet	ce	DET:2537;NOUN:3
2540	sentiments	sentiment	NOUN:2540
2539	commençait	commencer	VERB:2539
2528	crut	croire	VERB:2528
2510	Bien	bien	ADV:2380;NOUN:130
2485	maisons	maison	NOUN:2485
2473	fera	faire	VERB:2066;AUX:407
2472	mauvaise	mauvais	ADJ:2472
2457	aurai	avoir	VERB:1532;AUX:925
2449	bons	bon	ADJ:2433;NOUN:16
2447	millions	million	NOUN:2447
2442	tomba	tomber	VERB:2442
2435	soins	soin	NOUN:2435
2430	devenu	devenir	VERB:2430
2430	pleine	plein	ADJ:2430
2427	allaient	aller	VERB:2427
2421	pauvres	pauvre	ADJ:1381;NOUN:1040
2420	conditions	condition	NOUN:2420
2420	venue	venir	VERB:2420
2414	portes	porte	NOUN:2414
2412	peuvent	pouvoir	VERB:2412
2403	firent	faire	VERB:1854;AUX:549
2393	ferait	faire	VERB:2201;AUX:192
2393	premières	premier	ADJ:2393
2385	aimé	aimer	VERB:2385
2375	venez	venir	VERB:2375
2370	poussa	pousser	VERB:2370
2367	devint	devenir	VERB:2367
2365	seuls	seul	ADJ:2365
2364	fenêtres	fenêtre	NOUN:2364
2357	entière	entier	ADJ:2357
2354	suis	suivre	VERB:2354
2342	Quel	quel	DET:2324;ADJ:18
2334	laisse	laisser	VERB:2334
2332	comprit	comprendre	VERB:2332
2331	Jamais	jamais	ADV:2329;X:2
2330	appelait	appeler	VERB:2330
2326	derniers	dernier	ADJ:2326
2325	Lorsque	lorsque	SCONJ:2324;X:1
2312	regarde	regarder	VERB:2312
2311	arrivait	arriver	VERB:2311
2304	suivi	suivre	VERB:2304
2300	uns	un	PRON:2300
2290	vis	voir	VERB:2290
2281	jolie	joli	ADJ:2281
2277	Avec	avec	ADP:2277
2267	demandé	demander	VERB:2267
2265	entendait	entendre	VERB:2265
2254	reconnu	reconnaître	VERB:2254
2250	auraient	avoir	AUX:2051;VERB:199
2225	connu	connaître	VERB:2225
2218	moyens	moyen	NOUN:2157;ADJ:61
2218	pièces	pièce	NOUN:2218
2218	rendu	rendre	VERB:2218
2217	Voici	voici	ADP:2190;VERB:26;PRON:1
2207	puisse	pouvoir	VERB:2207
2204	oublié	oublier	VERB:2204
2202	assis	asseoir	VERB:2202
2200	nouvelles	nouveau	ADJ:2200
2192	chargé	charger	VERB:2192
2188	retourna	retourner	VERB:2188
2179	instants	instant	NOUN:2170;ADJ:9
2171	jeté	jeter	VERB:2171
2170	noire	noir	ADJ:2138;NOUN:32
2166	amie	ami	NOUN:2150;ADJ:16
2166	seraient	être	AUX:2112;VERB:54
2161	fussent	être	VERB:2127;AUX:34
2160	étions	être	AUX:1861;VERB:299
2155	eusse	avoir	VERB:2142;AUX:13
2155	voudrais	vouloir	VERB:2155
2152	Celui	celui	PRON:2152
2151	aviez	avoir	VERB:1507;AUX:644
2141	prise	prendre	VERB:2141
2136	détails	détail	NOUN:2136
2134	dames	dame	NOUN:2134
2129	commença	commencer	VERB:2129
2122	voulais	vouloir	VERB:2122
2119	ferai	faire	VERB:2029;AUX:90
2109	Français	français	NOUN:1955;ADJ:141;PRON:7;ADV:4;X:2
2102	bonnes	bon	ADJ:2081;NOUN:21
2098	demandait	demander	VERB:2098
2097	aurez	avoir	VERB:1857;AUX:240
2094	Bon	bon	ADJ:2094
2090	porte	porter	VERB:2090
2085	vaut	valoir	VERB:2085
2081	mêmes	même	ADJ:2069;PRON:12
2080	tira	tirer	VERB:2080
2080	voyageurs	voyageur	NOUN:2074;ADJ:6
2066	dents	dent	NOUN:2066
2065	montra	montrer	VERB:2065
2060	circonstances	circonstance	NOUN:2060
2056	soyez	être	AUX:1817;VERB:239
2055	forcé	forcer	VERB:2055
2050	vive	vif	ADJ:2050
2038	prie	prier	VERB:2038
2037	mettait	mettre	VERB:2037
2034	Quelques	quelque	DET:2034
2032	surpris	surprendre	VERB:2032
2030	faudrait	falloir	VERB:2030
2030	écrit	écrire	VERB:2030
2026	promis	promettre	VERB:2026
2015	appris	apprendre	VERB:2015
2013	serez	être	AUX:1902;VERB:111
2008	frères	frère	NOUN:2008
2007	approcha	approcher	VERB:2007
2005	étiez	être	AUX:1421;VERB:584
2004	su	savoir	VERB:2004
1998	reconnut	reconnaître	VERB:1998
1995	Du	du	ADP_DET:1987;DET:4;ADP:3;ADV:1
1988	resté	rester	VERB:1988
