COUNT	TERM	LEMMA	CORPUS_SHARE	WORD_FORM	WORD_FREQ	WORD_DOMINANT_LEMMA	WORD_DOMINANT_FREQ	WORD_RATIO	POS_COUNTS
177	enchantée	enchanter	0.823256	enchantée	2.03	enchanté	2.43	1.197	VERB:177
177	tourmente	tourmenter	0.547988	tourmente	2.16	tourmente	2.30	1.065	VERB:177
175	venue	venue	0.067437	venue	11.49	venir	60.47	5.263	NOUN:175
174	lave	lave	0.813084	lave	3.18	laver	7.64	2.403	NOUN:174
174	passionnée	passionner	0.602076	passionnée	2.57	passionné	5.74	2.233	VERB:174
174	employée	employer	0.988636	employée	2.30	employé	3.11	1.352	VERB:174
174	serrés	serré	0.861386	serrés	9.73	serrer	10.14	1.042	ADJ:174
174	déchirant	déchirer	0.809302	déchirant	2.97	déchirant	3.04	1.024	VERB:174
172	étouffant	étouffer	0.966292	étouffant	2.64	étouffant	2.70	1.023	VERB:172
171	fraîche	fraîche	0.176836	fraîche	3.58	frais	42.91	11.986	NOUN:171
171	contenu	contenir	0.444156	contenu	3.58	contenu	18.45	5.154	VERB:171
171	consterné	consterner	0.994186	consterné	1.42	consterné	1.69	1.190	VERB:171
171	opposée	opposé	0.396752	opposée	3.18	opposer	3.58	1.126	ADJ:171
171	mariés	marier	0.539432	mariés	5.20	marié	5.61	1.079	VERB:171
170	partage	partager	0.357895	partage	7.64	partage	8.04	1.052	VERB:170
169	rougissant	rougissant	0.392111	rougissant	0.68	rougir	3.78	5.559	ADJ:169
169	inquiétant	inquiéter	0.761261	inquiétant	2.50	inquiétant	8.72	3.488	VERB:169
169	attaque	attaquer	0.137734	attaque	11.22	attaque	29.93	2.668	VERB:169
169	but	boire	0.049735	but	22.50	but	51.89	2.306	VERB:169
169	brûlée	brûler	0.988304	brûlée	3.51	brûlé	6.82	1.943	VERB:169
169	frémissant	frémir	0.845000	frémissant	1.82	frémissant	2.03	1.115	VERB:169
167	rive	river	0.084987	rive	0.68	rive	35.14	51.676	VERB:167
167	hausse	hausse	0.878947	hausse	2.09	hausser	8.72	4.172	NOUN:167
167	balance	balance	0.769585	balance	8.18	balancer	12.16	1.487	NOUN:167
166	croissant	croître	0.572414	croissant	0.54	croissant	9.39	17.389	VERB:166
