TERM_TOTAL	LEMMA_COUNT	CORPUS_SHARE	TERM	LEMMA	POS_COUNTS
2221	13	0.005853	faute	fauter	VERB:13
2220	2217	0.998649	Voici	voici	ADP:2190;VERB:26;PRON:1
2220	3	0.001351	Voici	Voici	PROPN:3
2214	1934	0.873532	avance	avance	NOUN:1934
2214	280	0.126468	avance	avancer	VERB:280
2206	2204	0.999093	oublié	oublier	VERB:2204
2206	2	0.000907	oublié	oublié	ADJ:2
2205	2192	0.994104	chargé	charger	VERB:2192
2205	13	0.005896	chargé	chargé	ADJ:13
2182	2109	0.966544	Français	français	NOUN:1955;ADJ:141;PRON:7;ADV:4;X:2
2182	73	0.033456	Français	Français	PROPN:73
2182	2171	0.994959	jeté	jeter	VERB:2171
2182	11	0.005041	jeté	jeté	ADJ:6;NOUN:5
2182	2032	0.931256	surpris	surprendre	VERB:2032
2182	150	0.068744	surpris	surpris	ADJ:150
2176	1995	0.916820	Du	du	ADP_DET:1987;DET:4;ADP:3;ADV:1
2176	181	0.083180	Du	Du	PROPN:181
2163	2094	0.968100	Bon	bon	ADJ:2094
2163	69	0.031900	Bon	Bon	PROPN:69
2155	2133	0.989791	œuvre	œuvre	NOUN:2133
2155	22	0.010209	œuvre	œuvrer	VERB:22
2154	2153	0.999536	musique	musique	NOUN:2153
2154	1	0.000464	musique	musiquer	VERB:1
2144	2134	0.995336	dames	dame	NOUN:2134
2144	10	0.004664	dames	damer	VERB:10
2142	1740	0.812325	morte	mourir	VERB:1740
2142	402	0.187675	morte	mort	NOUN:316;ADJ:86
2142	1762	0.822596	pensées	pensée	NOUN:1762
2142	380	0.177404	pensées	penser	VERB:380
2137	2030	0.949930	écrit	écrire	VERB:2030
2137	107	0.050070	écrit	écrit	NOUN:81;ADJ:26
2114	1401	0.662725	ouverte	ouvrir	VERB:1401
2114	713	0.337275	ouverte	ouvert	ADJ:713
2113	2074	0.981543	pointe	pointe	NOUN:2074
2113	39	0.018457	pointe	pointer	VERB:39
2075	2055	0.990361	forcé	forcer	VERB:2055
2075	20	0.009639	forcé	forcé	ADJ:20
2069	1926	0.930884	fatigue	fatigue	NOUN:1926
2069	143	0.069116	fatigue	fatiguer	VERB:143
2055	1946	0.946959	arrêté	arrêter	VERB:1946
2055	109	0.053041	arrêté	arrêté	NOUN:109
2047	2026	0.989741	promis	promettre	VERB:2026
2047	21	0.010259	promis	promis	ADJ:12;NOUN:9
2035	2004	0.984767	su	savoir	VERB:2004
2035	31	0.015233	su	su	ADJ:31
2032	2015	0.991634	appris	apprendre	VERB:2015
2032	17	0.008366	appris	appris	ADJ:17
2031	1088	0.535697	court	court	ADJ:1088
2031	943	0.464303	court	courir	VERB:943
2001	1407	0.703148	mise	mettre	VERB:1407
2001	594	0.296852	mise	mise	NOUN:594
1998	1873	0.937437	vide	vide	ADJ:1125;NOUN:748
1998	125	0.062563	vide	vider	VERB:125
1997	1876	0.939409	levant	lever	VERB:1876
1997	121	0.060591	levant	levant	NOUN:121
1987	1899	0.955712	Anglais	anglais	NOUN:1875;ADJ:22;ADV:1;X:1
1987	88	0.044288	Anglais	Anglais	PROPN:88
1986	1576	0.793555	Bannière	Bannière	PROPN:1576
1986	410	0.206445	Bannière	bannière	NOUN:409;DET:1
1986	1481	0.745720	juge	juge	NOUN:1481
1986	505	0.254280	juge	juger	VERB:505
1985	1358	0.684131	blessé	blesser	VERB:1358
