COUNT	TERM	POS_COUNTS
16	garde-des-sceaux	NOUN:16
16	harmoniaient	VERB:16
16	hogar	NOUN:14;X:2
16	kafila	X:11;NOUN:5
16	loute	NOUN:14;VERB:2
16	mynheer	VERB:8;NOUN:6;ADJ:2
16	ouest-nord-ouest	NOUN:16
16	palancas	NOUN:16
16	phâme	NOUN:9;ADJ:6;ADP:1
16	sous-affluents	NOUN:16
16	sous-régisseurs	NOUN:16
16	squif	NOUN:16
16	très-facile	DET:6;ADV:5;NOUN:4;ADJ:1
16	ventre-saint-gris	NOUN:16
16	wisth	NOUN:15;X:1
16	ya	VERB:9;X:3;DET:2;PRON:2
15	baou	NOUN:15
15	barkasaham	NOUN:15
15	cm	NOUN:15
15	dab	NOUN:15
15	demi-verste	NOUN:15
15	fermier-général	NOUN:14;PRON:1
15	gitana	NOUN:8;X:4;DET:2;ADJ:1
15	is	ADJ:10;X:3;NOUN:2
15	nandû	NOUN:13;ADP:1;VERB:1
15	nord-nord-est	NOUN:15
15	osmazome	NOUN:15
15	ptarmigans	NOUN:14;ADP:1
15	rrrégiment	NOUN:15
15	stiratrice	NOUN:12;ADJ:3
15	très-agréable	ADJ:7;ADV:4;DET:2;NOUN:2
15	très-honnête	NOUN:13;ADV:2
15	très-joli	ADV:9;NOUN:5;ADJ:1
15	très-malheureux	ADV:10;ADJ:3;DET:1;PRON:1
15	très-surpris	ADV:15
15	wagddienne	ADJ:15
14	agent-chef	NOUN:14
14	arrayal	NOUN:13;ADJ:1
14	ballonistes	NOUN:12;ADJ:2
14	baraccons	NOUN:14
14	batistan	NOUN:13;PRON:1
14	bedide	NOUN:9;ADJ:3;ADP:2
14	cabousse	NOUN:14
14	capitaine-commandant	NOUN:13;VERB:1
14	cen	ADP:6;DET:4;NOUN:3;PRON:1
14	chamais	NOUN:6;CCONJ:3;ADJ:2;DET:2;ADV:1
14	corbleu	NOUN:11;ADJ:3
14	culpeux	NOUN:13;ADP_DET:1
14	demi-clarté	NOUN:13;DET:1
14	demi-nue	DET:8;NOUN:4;ADJ:1;ADP_DET:1
14	floridiennes	ADJ:14
14	gaards	NOUN:14
14	j	PRON:5;X:5;NOUN:3;DET:1
14	monsir	VERB:10;NOUN:4
14	niente	ADJ:13;VERB:1
14	petite-vérole	NOUN:14
14	podaroshna	NOUN:8;X:5;VERB:1
14	pâtour	NOUN:12;VERB:2
14	rescifs	NOUN:14
14	right	ADJ:13;X:1
14	sante	ADJ:8;NOUN:5;ADP:1
14	signorina	NOUN:9;VERB:4;X:1
14	solicitor	NOUN:14
14	steam-launch	X:11;NOUN:3
14	sum	NOUN:3;PRON:3;X:3;ADP:2;VERB:2;ADJ:1
14	tapis-franc	NOUN:14
14	très-aimable	ADJ:6;DET:5;NOUN:3
14	très-bas	ADV:13;NOUN:1
14	très-habile	NOUN:7;DET:5;ADJ:2
14	vero	NOUN:9;ADJ:2;X:2;VERB:1
13	achevalé	VERB:13
13	al	ADJ:5;NOUN:4;X:4
13	baracons	NOUN:13
13	bedid	ADJ:7;NOUN:6
13	bédaïas	NOUN:13
13	cardinal-duc	NOUN:13
13	casuarinas	NOUN:13
13	centigr	NOUN:13
13	ces derniers	PRON:13
13	coloradito	NOUN:13
13	corfiote	ADJ:13
13	cornemuser	VERB:13
13	demi-encâblure	NOUN:13
13	demi-tasse	NOUN:13
13	dribe	NOUN:13
13	florissait	VERB:12;NOUN:1
13	foir	VERB:10;NOUN:3
13	gouhn	NOUN:13
13	grand-porte	NOUN:13
13	havildars	NOUN:13
13	iræ	VERB:7;ADJ:5;PRON:1
13	manus	NOUN:5;X:5;ADJ:3
13	marette	NOUN:13
13	mia	VERB:7;X:4;DET:1;NOUN:1
13	moqaddem	NOUN:12;VERB:1
13	mé	VERB:11;NOUN:2
13	parfandious	ADV:6;ADJ:5;NOUN:2
13	petit-cousin	NOUN:13
13	ponts-et-chaussées	NOUN:13
13	ramada	X:13
13	receveur-général	NOUN:12;ADP:1
13	sacredié	VERB:12;NOUN:1
13	séraï	NOUN:13
13	touan	NOUN:9;PRON:2;ADJ:1;ADV:1
13	très-fin	ADV:12;NOUN:1
13	très-pâle	DET:7;NOUN:3;ADJ:2;ADV:1
13	très-utile	DET:5;ADV:3;NOUN:3;ADJ:1;PRON:1
13	voce	NOUN:12;ADJ:1
12	alaskien	ADJ:12
12	arba	NOUN:12
12	baufre	NOUN:9;ADJ:2;VERB:1
12	bombax	NOUN:12
12	bowie-knife	NOUN:12
12	buco	NOUN:6;X:6
12	béduis	NOUN:11;ADP:1
12	caro	NOUN:6;X:4;CCONJ:2
12	cha	VERB:5;DET:4;NOUN:3
12	corps-de-garde	NOUN:12
12	demi-pouce	NOUN:12
12	drifts	NOUN:11;ADJ:1
12	eau-de-feu	NOUN:10;ADP_DET:2
12	ex-empereur	NOUN:12
12	grand-officier	NOUN:9;ADJ:3
12	halkett-boat	NOUN:12
12	illinoise	ADJ:12
12	juge-suppléant	NOUN:9;VERB:2;ADV:1
12	lakoni	X:10;NOUN:2
12	latakié	NOUN:12
12	mein	ADJ:9;NOUN:2;ADV:1
12	parthénopéen	ADJ:12
12	sainte-barbe	NOUN:12
12	steam-boats	NOUN:12
12	teux	ADJ:12
12	très-beaux	NOUN:8;ADV:2;ADJ:1;DET:1
12	très-curieux	ADV:8;ADJ:2;NOUN:1;PRON:1
12	très-doux	ADV:9;ADJ:2;NOUN:1
12	très-malade	NOUN:6;ADP:3;ADV:2;DET:1
12	très-simple	NOUN:5;ADJ:3;DET:3;ADV:1
12	très-simplement	ADV:12
12	très-étonné	ADV:12
12	volateurs	NOUN:12
12	zon	NOUN:11;DET:1
11	aha	NOUN:5;VERB:4;X:2
11	ame	VERB:6;NOUN:5
11	après-dînée	NOUN:10;SCONJ:1
11	baladine	NOUN:11
11	baracon	NOUN:9;DET:1;PRON:1
11	cedde	ADP:7;DET:3;NOUN:1
11	centig.	X:6;NOUN:4;DET:1
11	chat-tigre	NOUN:11
11	chicagoise	ADJ:11
11	cipo	NOUN:11
11	commandant-commissaire	NOUN:11
11	contre-police	NOUN:11
11	corbœuf	NOUN:11
11	cordieu	NOUN:11
11	core	VERB:6;ADV:3;NOUN:1;X:1
11	curiares	NOUN:11
11	cylindro-conique	ADJ:11
11	demi-milliard	NOUN:11
11	dout	NOUN:6;ADV:2;AUX:2;ADJ:1
11	ex-capitaine	NOUN:7;ADJ:3;ADP_DET:1
11	ex-patron	NOUN:11
11	ex-professeur	NOUN:11
11	ex-roi	NOUN:11
11	falca	NOUN:10;VERB:1
11	fos	DET:4;NOUN:3;ADP:2;PRON:1;VERB:1
11	gitanilla	NOUN:9;DET:1;VERB:1
11	gris-perle	ADJ:6;NOUN:5
11	hato	NOUN:11
11	huis-clos	DET:7;NOUN:4
11	ivre-mort	NOUN:9;ADV:2
11	kandjiar	NOUN:5;X:5;ADJ:1
11	ki	NOUN:4;PRON:3;X:2;ADJ:1;DET:1
11	mi-route	NOUN:11
11	milliardaise	ADJ:10;NOUN:1
11	nigra	DET:5;VERB:4;CCONJ:2
11	paroxisme	NOUN:11
11	porte-respect	NOUN:11
11	représaille	NOUN:11
11	salita	NOUN:8;X:2;DET:1
11	save	ADJ:8;X:3
11	scuola	NOUN:9;SCONJ:1;X:1
11	sitio	NOUN:11
11	stradone	NOUN:11
11	taborites	NOUN:11
11	tchitoka	NOUN:7;X:4
11	tiaple	ADJ:7;NOUN:3;X:1
11	très-calme	ADV:9;ADJ:1;NOUN:1
11	très-certainement	ADV:11
11	très-faible	NOUN:5;ADJ:3;ADV:2;DET:1
11	très-heureusement	ADV:11
11	très-mauvais	ADV:6;NOUN:5
11	très-vif	ADV:7;ADJ:3;NOUN:1
11	ubas	NOUN:10;DET:1
11	vaid	VERB:7;NOUN:4
11	vert-pomme	ADJ:8;ADP:3
11	villetta	NOUN:10;X:1
11	vrans	ADJ:6;NOUN:4;ADP:1
10	0	X:10
10	XX	X:10
10	archant	VERB:4;ADJ:3;NOUN:3
10	articulo	ADJ:4;NOUN:3;X:2;VERB:1
10	aut	ADJ:3;ADV:3;AUX:2;NOUN:1;VERB:1
10	brumailles	NOUN:10
10	cabin	NOUN:10
10	cheu	NOUN:9;CCONJ:1
10	collet-monté	NOUN:4;ADV:3;PRON:2;ADJ:1
10	comfortable	ADJ:8;NOUN:2
10	corn-beef	NOUN:10
10	demeurance	NOUN:10
10	demi-année	NOUN:10
10	demi-arpent	NOUN:9;ADP_DET:1
10	demi-couronne	NOUN:10
10	demi-nus	NOUN:9;ADP:1
10	espélunque	NOUN:10
10	eventum	X:7;NOUN:3
10	ex-caporal	NOUN:8;ADJ:2
10	facchino	NOUN:9;X:1
10	frost-rime	NOUN:10
10	grand-amiral	NOUN:6;ADJ:4
10	gue	ADJ:6;NOUN:3;ADV:1
10	guigue	NOUN:10
10	ivoschik	NOUN:10
10	lime-juice	NOUN:8;DET:2
10	lèse-nation	NOUN:6;DET:4
10	manchetta	NOUN:9;X:1
10	maréchal-duc	NOUN:10
10	mi-jambes	NOUN:10
10	my	NOUN:5;ADV:2;X:2;ADJ:1
10	nobis	ADJ:5;VERB:2;ADV:1;NOUN:1;X:1
10	pardié	VERB:9;NOUN:1
10	pierge	NOUN:9;VERB:1
10	ponne	NOUN:6;ADJ:3;VERB:1
10	quem	PRON:4;ADP:3;ADV:2;X:1
10	res	ADJ:5;NOUN:3;VERB:2
10	signore	NOUN:6;VERB:3;ADJ:1
10	simplesse	NOUN:8;VERB:2
10	spares	NOUN:10
10	spunti	VERB:8;NOUN:2
10	tendine	NOUN:10
10	très-brave	NOUN:6;ADV:3;ADJ:1
10	très-capable	ADV:7;DET:3
10	très-dur	ADV:10
10	très-petit	NOUN:9;ADV:1
10	très-spirituel	ADV:5;ADJ:3;NOUN:2
10	très-spirituelle	PRON:3;ADJ:2;ADV:2;NOUN:2;ADP:1
10	très-élevé	ADV:9;ADJ:1
10	tuo	X:6;ADJ:4
10	uscoque	NOUN:6;VERB:4
10	viette	NOUN:10
10	virevau	NOUN:10
10	you	X:6;ADJ:2;CCONJ:2
10	ç'eût	ADV:8;PRON:1;SCONJ:1
10	ôme	NOUN:5;ADP:3;PRON:1;VERB:1
9	adjudant-major	NOUN:9
9	all	NOUN:7;ADJ:2
9	bas-breton	NOUN:9
9	berloque	NOUN:9
9	boind	VERB:8;X:1
9	burattino	NOUN:9
9	calle	NOUN:9
9	carroche	NOUN:9
9	chevaliers-gardes	NOUN:9
9	copper	NOUN:5;ADJ:2;VERB:2
9	d'Alembert	NOUN:9
9	donnez-m'en	ADP:7;DET:1;PRON:1
9	dunoise	ADJ:9
9	emmi	ADP:3;DET:2;NOUN:2;ADV:1;VERB:1
9	est-ce-pas	NOUN:9
9	est-sud-est	NOUN:9
9	fendeux	NOUN:7;ADJ:2
9	houhoulement	NOUN:9
9	huisset	NOUN:9
9	ice-master	NOUN:8;ADV:1
9	iemschick	NOUN:9
9	indelta	NOUN:8;ADJ:1
9	kauris	NOUN:8;X:1
9	kirghises	ADJ:9
9	ké	NOUN:4;ADJ:3;DET:2
9	matame	NOUN:8;VERB:1
9	matemoizelle	NOUN:6;ADJ:3
9	maître-clerc	NOUN:9
9	minotauriser	VERB:6;ADJ:3
9	moccoletto	NOUN:9
9	mosquitos	NOUN:9
9	moucharabi	NOUN:9
9	mufes	NOUN:8;ADJ:1
9	pendanus	NOUN:9
9	protocarboné	VERB:8;ADJ:1
9	quiot	NOUN:6;CCONJ:2;PRON:1
9	rangoun	X:8;NOUN:1
9	regem	VERB:8;X:1
9	saint-siège	NOUN:9
9	servante-maîtresse	NOUN:9
9	skifa	NOUN:9
9	snow-house	NOUN:8;PRON:1
9	spiritu	ADJ:5;X:4
9	ste	ADJ:7;DET:2
9	strada	X:6;NOUN:2;VERB:1
9	sud-sud-est	NOUN:9
9	tchîta	NOUN:5;X:4
9	tel.	DET:9
9	tiers-état	NOUN:9
9	tombéki	NOUN:8;VERB:1
9	tournevire	NOUN:9
9	très-chaud	ADV:9
9	très-douce	ADV:5;DET:2;NOUN:2
9	très-excellent	ADV:6;NOUN:2;ADP:1
9	très-froid	ADV:8;ADJ:1
9	très-juste	ADV:7;ADJ:1;NOUN:1
9	très-probablement	ADV:9
9	très-près	ADV:9
9	très-tard	ADV:9
9	turkestane	ADJ:7;NOUN:2
9	turkomène	ADJ:8;VERB:1
9	turkomènes	ADJ:8;NOUN:1
9	tyhi	NOUN:8;PRON:1
